# Export aus VertriebsSystem v4.2 - 03.01.2026
Auftragsdatum,Region,Produktgruppe,Produkt,Umsatz,Marge
2025-01-23,Ost,Bürobedarf,Druckerpapier,111.65,0.38
2025-01-24,Ost ,Verbrauchsmaterial,Toner,342.54,0.36
2025-01-24,West,Verbrauchsmaterial,Etiketten,776.83,0.34
2025-01-24,Nord,Möbel,Bürostuhl,3050.44,0.28
2025-01-24,West,Verbrauchsmaterial,Klebeband,258.69,0.34
2025-01-24,Ost,Bürobedarf,Notizbuch,220.85,0.42
2025-01-24,Süd,Bürobedarf,Stiftebox,335.35,0.32
2025-01-25,West,Bürobedarf,Notizbuch,533.30,0.41
2025-01-25,West,Möbel,Bürostuhl,2584.12,0.27
2025-01-25,Süd ,Bürobedarf,Stiftebox,240.31,0.38
2025-01-25,West,Möbel,Rollcontainer,960.68,0.35
2025-01-25,Ost,Zubehör,USB-Hub,389.82,0.35
2025-01-25,Ost,Zubehör,Monitorarm,808.59,0.28

2025-01-25,Nord,Verbrauchsmaterial,Etiketten,468.32,0.43
2025-01-25,West,Möbel,Schreibtisch,1550.17,0.29
2025-01-25,Nord,Zubehör,Handballenauflage,405.26,0.23
2025-01-25,Nord,Möbel,Rollcontainer,2921.81,0.24
2025-01-26,West ,Verbrauchsmaterial,Etiketten,590.67,0.28
2025-01-26,Süd,technik,Tastatur,805.50,0.34
2025-01-26,Ost,Technik,Tastatur,1014.91,0.42
2025-01-26,Nord,Bürobedarf,Stiftebox,234.36,0.39
2025-01-26,Süd,Verbrauchsmaterial,Druckerpatrone,1467.72,0.34
2025-01-26,Süd,Technik,Tastatur,577.60,0.23
2025-01-26,Nord,Technik,Monitor,1106.54,0.29
2025-01-27,Nord,Verbrauchsmaterial,Toner,527.86,0.33
2025-01-27,Nord,Möbel,Regal,3096.90,0.30
2025-01-27,Süd,Technik,Monitor,723.75,0.29
2025-01-27,Ost,Bürobedarf,Notizbuch,342.01,0.33
2025-01-27,Ost,Möbel,Rollcontainer,2398.19,0.34
2025-01-27,Nord,Bürobedarf,Druckerpapier,162.86,0.39
2025-01-27,West,Technik,Monitor,1068.86,0.26
2025-01-28,Ost,Verbrauchsmaterial,Druckerpatrone,713.05,0.36
2025-01-28,Süd,Bürobedarf,Notizbuch,192.78,0.41
2025-01-28,Ost,Verbrauchsmaterial,Toner,399.21,0.36
2025-01-28,Süd,Möbel,Regal,1205.47,0.26
2025-01-28,West,Möbel,Rollcontainer,2646.65,0.31
2025-01-28,Süd,Bürobedarf,Ordner,238.00,0.37
2025-01-28,Ost,Bürobedarf,Stiftebox,188.33,0.39
2025-01-28,Ost,Bürobedarf,Druckerpapier,201.43,0.30
2025-01-28,West,Bürobedarf,Druckerpapier,300.71,0.30
2025-01-28,Süd,Technik,Headset,1572.27,0.26
2025-01-29,Süd,technik,Tastatur,1310.98,0.27
2025-01-29,West,Zubehör,USB-Hub,231.03,0.36
2025-01-29,Süd ,Möbel,Regal,1068.70,0.22
2025-01-29,Süd,Zubehör,Monitorarm,455.12,0.33
2025-01-30,Süd,Technik,Dockingstation,534.46,0.37
2025-01-30,Nord,Verbrauchsmaterial,Etiketten,442.61,0.29
2025-01-30,Nord,Technik,Monitor,992.05,0.26
2025-01-30,Süd,Bürobedarf,Ordner,588.90,0.36
2025-01-30,Süd,Bürobedarf,Druckerpapier,119.41,0.43
2025-01-30,Süd,Bürobedarf,Notizbuch,249.43,0.40
2025-01-31,Ost,Verbrauchsmaterial,Druckerpatrone,494.91,0.38
2025-01-31,Ost,Verbrauchsmaterial,Klebeband,443.61,0.42
2025-01-31,Süd,Möbel,Bürostuhl,992.86,0.24
2025-01-31,Süd,Bürobedarf,Druckerpapier,341.65,0.34
2025-02-01,Süd,Technik,Dockingstation,977.16,0.23
2025-02-01,Süd ,Bürobedarf,Notizbuch,510.50,0.37
2025-02-01,West,Technik,Headset,1374.38,0.23
2025-02-01,Ost,Verbrauchsmaterial,Etiketten,236.32,0.42
2025-02-01,Nord ,Möbel,Bürostuhl,2909.72,0.38
2025-02-01,Süd,Technik,Tastatur,764.19,0.33
2025-02-02,Ost,Verbrauchsmaterial,Druckerpatrone,359.82,0.40
2025-02-02,West,Möbel,Regal,2870.13,0.29
2025-02-02,West,Technik,Dockingstation,872.87,0.30
2025-02-02,Ost ,Technik,Tastatur,454.00,0.27
2025-02-02,Ost,Zubehör,Handballenauflage,1283.76,0.34
2025-02-02,Nord,Bürobedarf,Druckerpapier,622.46,0.43
2025-02-02,Nord,Technik,Dockingstation,1572.44,0.31
2025-02-03,Nord,Verbrauchsmaterial,Druckerpatrone,587.26,0.34
2025-02-03,West,Möbel,Bürostuhl,1227.32,0.27
2025-02-03,Süd,Verbrauchsmaterial,Klebeband,677.51,0.39
2025-02-03,Nord,Zubehör,Monitorarm,325.57,0.28
2025-02-03,Ost ,Möbel,Rollcontainer,1770.12,0.36
2025-02-03,Ost,möbel,Regal,1396.92,0.30
2025-02-03,Süd,Zubehör,Kabelkanal,850.45,0.39
2025-02-03,Nord,Technik,Dockingstation,1846.26,0.30
2025-02-03,West,Bürobedarf,Ordner,407.97,0.32
2025-02-04,Ost,bürobedarf,Druckerpapier,871.68,0.36
2025-02-04,Nord,Technik,Headset,2304.04,0.25
2025-02-04,Nord,Technik,Dockingstation,1258.41,0.33
2025-02-04,Nord ,Möbel,Rollcontainer,1531.63,0.43
2025-02-04,Süd,Bürobedarf,Druckerpapier,453.97,0.43
2025-02-04,West,Verbrauchsmaterial,Klebeband,465.60,0.33
2025-02-05,Ost ,Bürobedarf,Notizbuch,270.03,0.35
2025-02-05,Nord,Möbel,Regal,1822.79,0.27
2025-02-05,Nord,Bürobedarf,Stiftebox,297.81,0.37
2025-02-05,Süd,Möbel,Rollcontainer,1886.46,0.38
2025-02-05,Ost,Verbrauchsmaterial,Druckerpatrone,1166.69,0.37
2025-02-06,West,Bürobedarf,Stiftebox,409.46,0.40
2025-02-06,Ost,Bürobedarf,Stiftebox,222.26,0.40
2025-02-06,Ost,Zubehör,Kabelkanal,986.63,0.28
2025-02-06,Ost,Technik,Monitor,1531.43,0.24
2025-02-06,Ost,Bürobedarf,Stiftebox,136.85,0.41
2025-02-06,Süd,Zubehör,USB-Hub,604.10,0.37
2025-02-06,Süd ,Verbrauchsmaterial,Toner,586.46,0.37
2025-02-07,West,Möbel,Rollcontainer,889.15,0.27
2025-02-07,Nord,Möbel,Bürostuhl,1350.13,0.23
2025-02-07,Süd,Zubehör,Kabelkanal,878.21,0.44
2025-02-07,Nord,Verbrauchsmaterial,Klebeband,170.61,0.35
2025-02-07,Süd,Zubehör,Monitorarm,414.25,0.26
2025-02-07,West,Bürobedarf,Stiftebox,457.24,0.40
2025-02-07,Süd,Möbel,Bürostuhl,2345.23,0.31
2025-02-08,Ost,Zubehör,Monitorarm,375.51,0.31
2025-02-08,Ost,Zubehör,Monitorarm,628.56,0.31
2025-02-08,Nord,Zubehör,Kabelkanal,226.17,0.36
2025-02-08,West,Technik,Headset,905.29,0.39
2025-02-09,West,Technik,Tastatur,1605.70,0.32
2025-02-09,Ost,technik,Tastatur,1616.38,0.36
2025-02-09,West,technik,Headset,1456.87,0.24
2025-02-09,Nord,Technik,Dockingstation,754.18,0.19
2025-02-10,Ost,Zubehör,Monitorarm,330.39,0.39
2025-02-10,Ost,Verbrauchsmaterial,Toner,725.66,0.40
2025-02-10,Süd,Möbel,Rollcontainer,4114.42,0.35
2025-02-10,Süd,Bürobedarf,Ordner,150.18,0.39
2025-02-10,Süd,Möbel,Schreibtisch,962.38,0.35
2025-02-10,Süd,Technik,Headset,2455.79,0.30
2025-02-10,Nord,Bürobedarf,Notizbuch,767.09,0.38
2025-02-10,Nord,Zubehör,Kabelkanal,276.69,0.35
2025-02-10,West,Technik,Headset,3507.00,0.28
2025-02-10,Ost,Zubehör,Kabelkanal,567.77,0.39
2025-02-10,Süd,Möbel,Bürostuhl,6536.02,0.30
2025-02-10,Süd ,Möbel,Rollcontainer,1959.58,0.32
2025-02-10,Süd,Möbel,Rollcontainer,2815.53,0.22
2025-02-11,Nord,Bürobedarf,Druckerpapier,191.38,0.35
2025-02-11,Ost,Zubehör,Monitorarm,292.00,0.30
2025-02-11,West,Verbrauchsmaterial,Toner,252.27,0.41
2025-02-11,Süd,Verbrauchsmaterial,Klebeband,452.19,0.34
2025-02-11,West,Technik,Monitor,912.23,0.34
2025-02-11,West ,Technik,Dockingstation,705.84,0.29
2025-02-11,Süd ,Bürobedarf,Druckerpapier,375.30,0.34
2025-02-12,Nord,Technik,Dockingstation,4094.65,0.31
2025-02-12,West,Zubehör,Kabelkanal,104.52,0.37
2025-02-12,West ,Verbrauchsmaterial,Druckerpatrone,382.70,0.35
2025-02-12,Nord,Verbrauchsmaterial,Druckerpatrone,454.14,0.36
2025-02-13,Nord,Zubehör,Kabelkanal,435.63,0.35
2025-02-13,Ost,Möbel,Rollcontainer,1249.80,0.37
2025-02-13,Nord,Bürobedarf,Notizbuch,169.90,0.40
2025-02-13,Süd,Bürobedarf,Stiftebox,201.13,0.33
2025-02-13,West,Technik,Monitor,1033.40,0.38
2025-02-13,Ost,Verbrauchsmaterial,Toner,343.92,0.35
2025-02-13,Süd,Zubehör,Monitorarm,492.54,0.38
2025-02-13,Süd,Zubehör,USB-Hub,752.83,0.32
2025-02-14,Ost,Bürobedarf,Druckerpapier,193.54,0.28
2025-02-14,Nord,Technik,Tastatur,1298.25,0.28
2025-02-14,Süd,Zubehör,Kabelkanal,190.83,0.31
2025-02-14,Ost,Bürobedarf,Notizbuch,132.91,0.37
2025-02-14,West ,Verbrauchsmaterial,Etiketten,551.46,0.25
2025-02-14,Süd,Zubehör,Monitorarm,573.40,0.32
2025-02-14,Nord,Bürobedarf,Druckerpapier,882.67,0.37
2025-02-14,Ost,Technik,Monitor,825.50,0.32
2025-02-14,Ost,Bürobedarf,Notizbuch,151.08,0.36
2025-02-14,Ost,Technik,Monitor,3173.10,0.27
2025-02-14,West,bürobedarf,Druckerpapier,464.45,0.38
2025-02-15,Süd ,Bürobedarf,Stiftebox,394.77,0.28
2025-02-15,Nord,Technik,Headset,1715.49,0.32
2025-02-15,Süd,Zubehör,Monitorarm,779.12,0.33
2025-02-16,Süd,Möbel,Schreibtisch,4836.12,0.28
2025-02-16,West,Bürobedarf,Druckerpapier,968.75,0.25
2025-02-16,Ost,Bürobedarf,Notizbuch,285.15,0.42
2025-02-16,Nord,Technik,Monitor,873.02,0.32
2025-02-16,Ost,Bürobedarf,Notizbuch,366.11,0.45
2025-02-16,Nord,Verbrauchsmaterial,Druckerpatrone,160.33,0.36
2025-02-16,Ost,Technik,Dockingstation,1247.02,0.35
2025-02-16,West,Verbrauchsmaterial,Druckerpatrone,430.04,0.38
2025-02-17,Süd,Zubehör,USB-Hub,760.48,0.30
2025-02-17,Süd ,Bürobedarf,Stiftebox,247.18,0.38
2025-02-17,Ost,Technik,Monitor,642.67,0.29
2025-02-17,West,Bürobedarf,Notizbuch,766.00,0.39
2025-02-17,West,Technik,Headset,703.05,0.38
2025-02-17,Süd,Technik,Headset,971.69,0.20
2025-02-17,Ost,Technik,Headset,1959.94,0.33
2025-02-17,West,Verbrauchsmaterial,Druckerpatrone,296.56,0.39
2025-02-17,Nord,Bürobedarf,Notizbuch,877.51,0.33
2025-02-18,Nord,Möbel,Rollcontainer,1139.31,0.28
2025-02-18,Ost,Verbrauchsmaterial,Etiketten,476.86,0.37
2025-02-18,Nord,Verbrauchsmaterial,Etiketten,355.93,0.37
2025-02-18,West,Technik,Tastatur,1820.47,0.21
2025-02-18,Süd,Bürobedarf,Ordner,152.34,0.38
2025-02-18,West,verbrauchsmaterial,Etiketten,659.63,0.32
2025-02-18,Süd,Möbel,Bürostuhl,1144.62,0.31
2025-02-19,Ost,Möbel,Regal,1395.03,0.25
2025-02-19,Süd,Bürobedarf,Druckerpapier,462.99,0.29
2025-02-19,West,Verbrauchsmaterial,Druckerpatrone,525.54,0.39
2025-02-19,Süd,Zubehör,Monitorarm,546.63,0.33
2025-02-19,Süd,Bürobedarf,Druckerpapier,582.09,0.39
2025-02-19,Ost,Technik,Tastatur,920.89,0.31
2025-02-19,Süd,Technik,Monitor,791.66,0.30
2025-02-20,Nord,Verbrauchsmaterial,Toner,314.34,0.24
2025-02-20,West,Bürobedarf,Notizbuch,183.56,0.30
2025-02-20,Süd,Bürobedarf,Druckerpapier,450.03,0.38
2025-02-20,Ost,Möbel,Rollcontainer,1214.59,0.33
2025-02-20,Nord,Technik,Headset,800.80,0.30
2025-02-20,Nord,Möbel,Regal,1095.78,0.33
2025-02-20,West,Zubehör,Handballenauflage,313.65,0.37
2025-02-21,West,Möbel,Schreibtisch,1635.81,0.25
2025-02-21,Ost,Technik,Dockingstation,3936.00,0.26
2025-02-21,West,Technik,Dockingstation,600.16,0.28
2025-02-21,Süd,technik,Monitor,838.07,0.36
2025-02-21,Nord ,Möbel,Bürostuhl,3279.74,0.34
2025-02-21,Nord,Zubehör,USB-Hub,230.14,0.37
2025-02-21,Ost,Bürobedarf,Stiftebox,164.77,0.39
2025-02-21,Nord,Technik,Dockingstation,2028.75,0.33
2025-02-21,West,Verbrauchsmaterial,Toner,98.39,0.38
2025-02-21,Süd,Möbel,Bürostuhl,5065.55,0.37
2025-02-21,Süd,Zubehör,Kabelkanal,1253.87,0.34
2025-02-22,Nord,Bürobedarf,Ordner,549.82,0.36
2025-02-22,Ost,Technik,Dockingstation,485.77,0.29
2025-02-22,Ost,Technik,Headset,1985.63,0.27
2025-02-22,Ost,Verbrauchsmaterial,Druckerpatrone,325.31,0.30
2025-02-22,Ost,Zubehör,Kabelkanal,586.33,0.38
2025-02-22,West,Technik,Monitor,1419.02,0.35
2025-02-23,West,bürobedarf,Ordner,510.79,0.37
2025-02-23,Nord,bürobedarf,Notizbuch,419.01,0.32
2025-02-23,Nord,Möbel,Bürostuhl,492.64,0.22
2025-02-24,West,Bürobedarf,Stiftebox,188.09,0.28
2025-02-24,West ,Bürobedarf,Druckerpapier,291.14,0.31
2025-02-24,Nord,Verbrauchsmaterial,Toner,249.77,0.34
2025-02-24,Süd ,Möbel,Rollcontainer,4169.62,0.27
2025-02-25,Ost,möbel,Schreibtisch,1380.00,0.33
2025-02-25,Ost,Bürobedarf,Druckerpapier,291.62,0.32
2025-02-25,Süd,zubehör,Handballenauflage,570.33,0.33
2025-02-25,Nord,Verbrauchsmaterial,Klebeband,577.93,0.33
2025-02-25,West,Bürobedarf,Ordner,230.56,0.34
2025-02-25,Süd,Verbrauchsmaterial,Druckerpatrone,265.97,0.29
2025-02-26,Süd,Bürobedarf,Stiftebox,578.85,0.35
2025-02-26,West,Verbrauchsmaterial,Toner,154.05,0.42
2025-02-26,Süd,Verbrauchsmaterial,Druckerpatrone,136.32,0.38
2025-02-26,West,Verbrauchsmaterial,Druckerpatrone,219.93,0.31
2025-02-26,Nord,Möbel,Schreibtisch,1032.43,0.32
2025-02-26,Nord,Bürobedarf,Ordner,644.64,0.38
2025-02-26,West,Bürobedarf,Ordner,114.12,0.38
2025-02-27,Nord,Technik,Monitor,1239.60,0.38
2025-02-27,West,verbrauchsmaterial,Klebeband,420.12,0.36
2025-02-27,Ost,Zubehör,Kabelkanal,655.12,0.32
2025-02-27,Nord,verbrauchsmaterial,Klebeband,743.72,0.37
2025-02-27,Ost ,möbel,Schreibtisch,1001.44,0.27
2025-02-27,Süd,Bürobedarf,Druckerpapier,976.44,0.42
2025-02-28,West,Bürobedarf,Ordner,191.00,0.42
2025-02-28,Süd,Zubehör,Kabelkanal,1140.42,0.39
2025-02-28,Süd,Technik,Headset,1346.09,0.30
2025-02-28,Nord,Verbrauchsmaterial,Etiketten,299.81,0.36
2025-03-01,Süd,Technik,Dockingstation,583.08,0.32
2025-03-01,Nord,Technik,Tastatur,546.51,0.35
2025-03-01,Nord,Verbrauchsmaterial,Klebeband,1673.24,0.41
2025-03-01,Süd,Bürobedarf,Ordner,429.79,0.31
2025-03-01,Ost,Technik,Tastatur,935.19,0.20
2025-03-01,Ost ,Verbrauchsmaterial,Klebeband,185.08,0.32
2025-03-01,West,Technik,Headset,1448.81,0.32
2025-03-01,West,Zubehör,Kabelkanal,271.00,0.33
2025-03-01,West,Technik,Dockingstation,2019.36,0.32
2025-03-01,Süd,verbrauchsmaterial,Druckerpatrone,286.20,0.40
2025-03-02,Süd,Zubehör,Monitorarm,524.32,0.39
2025-03-02,Ost,Möbel,Schreibtisch,2336.33,0.36
2025-03-02,West ,Zubehör,USB-Hub,416.10,0.28
2025-03-02,West,Verbrauchsmaterial,Klebeband,254.23,0.41
2025-03-03,Ost,Zubehör,Kabelkanal,497.75,0.35
2025-03-03,Süd,Verbrauchsmaterial,Toner,621.72,0.36
2025-03-03,Süd,Zubehör,Handballenauflage,586.11,0.35
2025-03-03,West,Bürobedarf,Notizbuch,1156.12,0.31
2025-03-03,West,Verbrauchsmaterial,Druckerpatrone,372.00,0.32
2025-03-04,Süd,Verbrauchsmaterial,Etiketten,615.21,0.27
2025-03-04,West,Technik,Dockingstation,3687.51,0.31
2025-03-05,Ost,Möbel,Schreibtisch,1976.75,0.29
2025-03-05,Ost,Möbel,Rollcontainer,879.94,0.31
2025-03-05,Ost,Bürobedarf,Stiftebox,368.73,0.37
2025-03-05,Nord,Verbrauchsmaterial,Toner,376.23,0.40
2025-03-05,Nord,Bürobedarf,Druckerpapier,359.04,0.36
2025-03-05,Ost,zubehör,Monitorarm,811.96,0.27
2025-03-06,Nord,Technik,Monitor,1042.99,0.33
